STEM,LEMMA,FORMS...
expect,expect (v),expected (VBN),expect (VBP),expectant (JJ),expecting (VBG),expectantly (RB)
expedit,expedition (n),expeditions (NNS),expedition (NN)
expeditionari,expeditionary (JJ),expeditionary (JJ)
expend,expendable (JJ),expendable (JJ)
expenditur,expenditure (n),expenditure (NN)
expens,expensive (JJ),expensive (JJ)
experi,experiment (n),experiments (NNS),experiment (JJ),experimented (VBD),experience (NN),experiences (NNS)
experienc,experience (v),experienced (VBD)
experiment,experimentation (n),experimentation (NN),experimental (JJ)
expert,expert (n),expert (JJ)
expertis,expertise (n),expertise (NN)
expir,expire (v),expiring (VBG)
explain,explain (v),explained (VBN),explains (NNS),explaining (NN),explain (RB)
explan,explanation (n),explanation (NN),explanations (NNS)
explod,explode (NN),explode (NN),exploded (VBD)
exploit,exploit (v),exploiting (VBG),exploit (JJ),exploits (NNS)
explor,explore (v),explored (VBD),explorers (NNS),explorer (NN),exploring (VBG),exploration (NN)
exploratori,exploratory (NN),exploratory (NN)
explos,explosives (VBZ),explosives (VBZ),explosively (RB),explosion (NN)
expon,exponent (n),exponents (NNS)
exponenti,exponential (n),exponential (JJ),exponentially (RB)
export,export (v),exported (VBN),export (NN)
expos,expose (v),exposing (VBG),exposed (VBN)
exposur,exposure (n),exposure (NN)
express,expressively (RB),expressively (RB),express (VBP),expressions (NNS),expression (NN)
expuls,expulsion (n),expulsion (NN)
extant,extant (JJ),extant (JJ)
extend,extend (v),extended (VBD),extend (VB),extending (VBG),extends (NNS)
extens,extension (n),extension (NN),extensions (NNS),extensive (JJ)
extent,extent (n),extent (NN)
exterior,exterior (n),exteriors (NNS),exterior (JJ)
extermin,exterminated (JJ),exterminated (JJ),exterminating (VBG),extermination (NN)
extern,external (n),external (JJ)
extinct,extinction (n),extinctions (NNS),extinct (JJ),extinction (NN)
extinguish,extinguish (v),extinguished (VBN)
extra,extra (n),extra (JJ)
extra-solar,extra-solar (JJ),extra-solar (JJ)
extra-speci,extra-species (NNS),extra-species (NNS)
extra-vehicular,extra-vehicular (JJ),extra-vehicular (JJ)
extract,extract (v),extracted (VBD),extract (RB)
extrapol,extrapolate (v),extrapolate (VBP),extrapolated (VBN),extrapolating (VBG)
extrem,extreme (n),extreme (JJ),extremes (NNS),extremities (NNS),extremity (NN)
extremi,extremis (JJ),extremis (JJ)
extremist,extremist (n),extremists (NNS)
exult,exultant (VBP),exultant (VBP)
eye,eyeing (NN),eyeing (NN),eye (NN),eyes (NNS),eyed (VBN)
eyebal,eyeball (n),eyeballs (NNS)
eyebrow,eyebrow (n),eyebrows (NNS),eyebrow (VBP)
eyesight,eyesight (n),eyesight (NN)
eyesocket,eyesockets (VBP),eyesockets (VBP)
fabian,fabianism (n),fabianism (NN),fabians (NNS),fabian (JJ)
fabric,fabric (n),fabric (NN),fabricated (VBN),fabricate (NN)
face,face (v),faces (VBZ),facing (VBG),face (VBP),faced (VBD)
faceless,faceless (NN),faceless (NN)
facepl,faceplate (n),faceplate (NN),faceplates (VBZ)
facil,facility (n),facilities (NNS),facility (NN)
fact,fact (n),fact (NN),facts (NNS)
faction,factionalizes (VBZ),factionalizes (VBZ),factionalism (NN),factions (NNS),faction (NN)
factor,factor (n),factor (NN)
factori,factory (n),factory (NN),factories (NNS)
faculti,faculty (n),faculty (NN)
fade,fade (v),faded (VBN),fading (VBG),fades (JJ)
fail,fail (v),fails (VBZ),failing (VBG),fail (JJ),failed (VBD)
failsaf,failsafe (JJ),failsafe (JJ)
failur,failure (n),failure (NN),failures (NNS)
faint,faintly (RB),faintly (RB),faint (NN)
fainter,fainter (RB),fainter (RB)
faintest,faintest (JJS),faintest (JJS)
faith,faith (VBP),faith (VBP),faithful (JJ)
fake,fake (n),fake (NN),faked (VBD)
fall,fall (v),falls (VBZ),falling (VBG),fall (JJ)
fall-back,fall-back (NN),fall-back (NN)
fallarn,fallarn (NN),fallarn (NN)
fallen,fallen (JJ),fallen (JJ)
fals,false (JJ),false (JJ)
falter,falter (v),faltered (VBD)
famili,family (n),family (NN)
familiar,familiar (n),familiar (JJ),familiarity (NN)
famous,famous (JJ),famous (JJ)
fan,fan (n),fans (NNS),fanning (VBG)
fanat,fanatic (n),fanatics (NNS)
fanci,fancy (n),fancy (NN),fancied (VBD)
fanfar,fanfare (n),fanfare (NN)
fang,fang (n),fang (JJ),fangs (NNS)
fang-point,fang-point (JJ),fang-point (JJ)
fang-strik,fang-strike (JJ),fang-strike (JJ)
fantasi,fantasy (n),fantasy (JJ)
fantast,fantastical (JJ),fantastical (JJ)
far,far (n),far (RB)
far-flung,far-flung (JJ),far-flung (JJ)
far-reach,far-reaching (JJ),far-reaching (JJ)
farewel,farewell (n),farewell (RB)
farm,farm (n),farm (NN),farms (NNS),farming (VBG)
farmland,farmland (n),farmland (NN)
fascin,fascinate (v),fascinating (VBG),fascinated (VBD),fascination (NN),fascinates (NNS)
fashion,fashion (v),fashioning (VBG),fashion (NN)
fast,fast (n),fast (JJ)
fast-matur,fast-maturing (JJ),fast-maturing (JJ)
fast-track,fast-tracked (JJ),fast-tracked (JJ)
fasten,fasten (v),fastening (VBG)
faster,faster (RBR),faster (RBR)
fastidi,fastidious (JJ),fastidious (JJ)
fatal,fatal (JJ),fatal (JJ),fatally (RB)
fate,fate (n),fates (NNS),fate (NN)
fatigu,fatigue (v),fatigue (VBP)
fatuous,fatuous (JJ),fatuous (JJ)
fault,fault (v),fault (VBP)
faulti,faulty (NN),faulty (NN)
favour,favour (n),favours (NNS),favouring (VBG),favour (NN),favoured (VBD)
favourit,favourites (VBZ),favourites (VBZ),favourite (NN)
fear,fear (n),fears (NNS),fearful (JJ),fear (VBP),feared (VBD)
fearless,fearlessness (n),fearlessness (NN),fearlessly (RB)
feat,feat (n),feat (NN)
feather,feathered (JJ),feathered (JJ)
feather-light,feather-light (JJ),feather-light (JJ)
featur,feature (n),feature (NN),features (NNS)
fecund,fecund (NN),fecund (NN)
fed,feed (v),fed (VBN)
feebl,feeble (JJ),feeble (JJ)
feebly-mov,feebly-moving (JJ),feebly-moving (JJ)
feed,feed (n),feed (NN),feeding (VBG),feeds (NNS)
feedback,feedback (n),feedback (JJ)
feel,feeling (n),feeling (NN),feelings (NNS),feels (NNS),feel (NN)
feeler,feeler (n),feeler (NN)
feet,foot (n),feet (NNS)
feign,feign (NN),feign (NN),feigned (VBD)
fell,fell (v),felled (VBD),fell (VBD)
fellow,fellows (VBZ),fellows (VBZ),fellow (NN)
felt,felt (v),felt (VBD)
femal,female (n),females (NNS),female (JJ)
fenc,fencing (n),fencing (NN)
fend,fend (v),fend (VBP),fending (VBG)
feral,feral (JJ),feral (JJ)
fern-lik,fern-like (JJ),fern-like (JJ)
feroci,ferocious (JJ),ferocious (JJ)
fertil,fertile (RB),fertile (RB)
fervent,fervently (RB),fervently (RB),fervent (JJ)
fervour,fervour (n),fervour (NN)
festiv,festival (n),festival (NN)
festoon,festooned (JJ),festooned (JJ)
fetch,fetch (v),fetched (VBD),fetch (NN)
feverish,feverishly (RB),feverishly (RB)
few,few (n),few (JJ)
fewer,fewer (JJR),fewer (JJR)
fewest,fewest (JJS),fewest (JJS)
fibr,fibre (n),fibre (JJ)
fiction,fiction (n),fiction (NN)
fictionbook,fictionbook (VBP),fictionbook (VBP)
fictiti,fictitiously (RB),fictitiously (RB)
fiddl,fiddle (v),fiddling (VBG),fiddled (VBD)
fidget,fidgeted (JJ),fidgeted (JJ),fidgeting (VBG),fidget (VBP)
fidgeti,fidgety (NN),fidgety (NN)
field,field (n),fields (NNS),field (NN)
field-chemist,field-chemist (JJ),field-chemist (JJ)
fierc,fierce (JJ),fierce (JJ),fiercely (RB)
fiercer,fiercer (NN),fiercer (NN)
fieri,fiery (JJ),fiery (JJ)
fifteen,fifteen (n),fifteen (JJ)
fifteen-year,fifteen-year (JJ),fifteen-year (JJ)
fifth,fifth (n),fifth (JJ)
fifti,fifty (n),fifty (JJ)
fight,fighting (n),fighting (NN),fights (NNS),fight (NN)
fighter,fighter (n),fighter (NN),fighters (NNS)
figur,figure (v),figured (VBN),figures (NNS),figure (VBP)
figurehead,figurehead (n),figurehead (JJ)
file,file (n),files (NNS),file (NN),filed (VBN)
filigre,filigree (n),filigree (JJ)
fill,fill (n),fill (NN),filled (VBD),filling (VBG)
film,film (n),film (NN),films (VBP)
filmi,filmy (JJ),filmy (JJ)
filter,filter (n),filter (RB)
filthi,filthy (JJ),filthy (JJ)
final,final (n),final (JJ),finally (RB)
financi,financier (n),financiers (NNS)
find,find (v),finding (VBG),find (VBP),finds (VBZ)
fine,fine (n),fine (JJ),finely (RB)
fine-spun,fine-spun (JJ),fine-spun (JJ)
finer,finer (NN),finer (NN)
finess,finesse (n),finesse (NN)
finger,finger (n),finger (NN),fingered (VBN),fingers (NNS)
fingernail,fingernail (n),fingernails (NNS)
fingertip,fingertip (n),fingertips (JJ),fingertip (NN)
finish,finish (v),finished (VBN),finish (JJ),finishes (NNS)
finit,finite (JJ),finite (JJ)
fire,fire (n),fires (NNS),fired (VBD),fire (NN)
fire-fight,fire-fighting (NN),fire-fighting (NN)
fire-trap,fire-traps (JJ),fire-traps (JJ)
firearm,firearm (n),firearms (JJ)
firebreak,firebreak (n),firebreak (NN),firebreaks (NNS)
firewal,firewall (n),firewalls (NNS)
firm,firmly (RB),firmly (RB),firm (NN)
first,firstly (RB),firstly (RB),first (RB)
first-hand,first-hand (NN),first-hand (NN)
first-pass,first-pass (JJ),first-pass (JJ)
first-stag,first-stage (JJ),first-stage (JJ)
fish,fish (n),fish (JJ)
fist,fist (n),fists (NNS)
fit,fitfully (RB),fitfully (RB),fit (JJ),fitted (VBD),fitting (NN),fits (NNS)
five,five (n),five (CD)
fix,fix (v),fixing (VBG),fixed (VBN),fix (JJ)
flaccid,flaccid (NN),flaccid (NN)
flag,flag (v),flagged (VBN),flag (NN),flags (VBP)
flag-wav,flag-waving (JJ),flag-waving (JJ)
flail,flail (v),flailing (VBG),flailed (VBD)
flame,flame (n),flame (NN),flames (NNS)
flamethrow,flamethrower (VBP),flamethrower (VBP)
flammabl,flammable (JJ),flammable (JJ)
flank,flank (v),flanked (VBN)
flap,flapping (n),flapping (JJ)
flare,flare (n),flare (NN),flaring (VBG),flared (VBN)
flash,flash (v),flashing (VBG),flashes (NNS),flash (NN),flashed (JJ)
flask,flask (VBP),flask (VBP)
flat,flatly (RB),flatly (RB),flat (JJ)
flat-out,flat-out (JJ),flat-out (JJ)
flatten,flatten (v),flattening (VBG)
flatter,flatter (v),flattering (VBG),flattered (VBN)
flatteri,flattery (n),flattery (JJ)
flaw,flaw (v),flawed (VBN)
flay,flaying (NN),flaying (NN)
fled,flee (v),fled (VBD)
flee,flees (NNS),flees (NNS),flee (VBP)
fleet,fleet (n),fleet (NN),fleeting (NN)
flesh,flesh (n),flesh (JJ)
flesh-eat,flesh-eating (JJ),flesh-eating (JJ)
fleshi,fleshy (JJ),fleshy (JJ)
fleshless,fleshless (NN),fleshless (NN)
flew,flew (JJ),flew (JJ)
flex,flex (n),flexes (JJ),flexing (VBG),flex (JJ)
flexibl,flexible (JJ),flexible (JJ)
fli,fly (v),flying (VBG),fly (JJ),flies (VBZ)
flick,flick (v),flicked (VBD),flicking (NN),flick (VBP),flicks (NNS)
flicker,flicker (n),flicker (NN),flickering (NN),flickered (VBD)
flight,flight (n),flight (NN),flights (NNS)
flimsi,flimsy (n),flimsy (RB)
flinch,flinch (v),flinched (VBD),flinching (VBG)
fling,fling (v),flinging (VBG)
flip,flip (v),flipped (VBD),flip (NN),flipping (VBG)
flirt,flirt (v),flirting (VBG)
float,float (v),floating (VBG),floats (VBP)
flock,flock (n),flock (NN)
flood,flood (v),flooding (VBG),flood (NN)
floor,floor (n),floor (NN),floors (NNS),flooring (VBG)
flop,flopped (JJ),flopped (JJ)
flourish,flourish (n),flourish (JJ)
flow,flow (v),flowing (VBG),flowed (VBD)
flower,flower (v),flowering (VBG),flower (JJR)
fluent,fluent (NN),fluent (NN)
fluid,fluid (n),fluid (NN),fluids (NNS)
flung,flung (NN),flung (NN)
flurri,flurry (n),flurry (NN),flurries (NNS)
flush,flush (n),flush (JJ)
flutter,flutter (v),fluttering (VBG),flutter (RB)
focus,focus (v),focuses (VBZ),focus (NN),focusing (VBG),focused (VBD)
foe,foe (n),foes (NNS),foe (NN)
fog,fog (n),fog (JJ)
fold,fold (n),folds (NNS),folded (JJ),fold (NN)
foliag,foliage (n),foliage (NN)
folli,folly (n),follies (NNS)
follow,follow (v),following (VBG),follows (VBZ),followers (NNS),follower (RBR),follow (VBP),followed (VBD)
fond,fond (NN),fond (NN),fondly (RB)
food,food (n),food (NN),foods (NNS)
fool,fool (n),fool (NN),fools (NNS),fooled (VBN)
foolish,foolishness (n),foolishness (JJ),foolish (JJ)
foot,footing (n),footing (NN),foot (NN)
footag,footage (n),footage (NN)
foothold,foothold (VBN),foothold (VBN)
footprint,footprint (n),footprint (NN)
footstep,footstep (n),footsteps (NNS)
for,for (IN),for (IN)
forbidden,forbidden (JJ),forbidden (JJ)
forc,forceful (JJ),forceful (JJ),force (NN),forced (VBD),forcing (VBG),forces (NNS)
force-evolv,force-evolved (JJ),force-evolved (JJ)
fore,fore (n),fore (NN)
fore-cabin,fore-cabin (JJ),fore-cabin (JJ)
forebear,forebear (n),forebears (NNS)
forebod,forebode (v),foreboding (VBG)
forego,forego (v),foregoing (VBG)
forehead,forehead (n),forehead (JJ)
foreign,foreign (JJ),foreign (JJ)
foreleg,foreleg (n),forelegs (JJ),foreleg (VBP)
forelimb,forelimbs (VBP),forelimbs (VBP)
foremost,foremost (JJ),foremost (JJ)
forerunn,forerunner (n),forerunner (NN)
foreseen,foreseen (JJ),foreseen (JJ)
forest,forest (v),forested (VBD),forest (JJS)
forestri,forestry (n),forestry (NN)
foretel,foretells (NNS),foretells (NNS)
forethought,forethought (n),forethought (NN)
foretold,foretold (JJ),foretold (JJ)
forev,forever (RB),forever (RB)
forewarn,forewarn (v),forewarning (VBG)
forg,forging (n),forging (NN)
forget,forgets (NNS),forgets (NNS),forget (NN)
forgiv,forgive (JJ),forgive (JJ)
forgot,forget (v),forgot (VBD)
forgotten,forget (v),forgotten (VBN)
fork,fork (n),forks (NNS)
forlorn,forlorn (VBN),forlorn (VBN)
form,form (v),formed (VBD),form (NN),forms (NNS),forming (VBG)
formal,formal (n),formal (JJ),formalities (NNS),formally (RB)
format,format (n),format (NN),formation (NN)
former,formerly (RB),formerly (RB),former (JJ)
formid,formidable (JJ),formidable (JJ),formidably (RB)
formul,formulate (NN),formulate (NN),formulated (VBD)
formula,formula (n),formulae (RB)
fort,fort (n),fort (NN)
forth,forth (n),forth (JJ)
forthcom,forthcoming (VBG),forthcoming (VBG)
forthright,forthright (JJ),forthright (JJ)
forti,forty (n),forty (NN)
fortitud,fortitude (n),fortitude (JJ)
fortress,fortress (n),fortress (NN)
fortun,fortunate (NN),fortunate (NN),fortune (NN),fortunes (NNS)
forty-eight,forty-eight (JJ),forty-eight (JJ)
forty-nin,forty-nine (JJ),forty-nine (JJ)
forward,forward (n),forward (RB),forwards (NNS)
forward-fac,forward-facing (JJ),forward-facing (JJ)
fossil,fossil (n),fossil (NN)
foster,foster (v),fostered (VBD)
fought,fought (JJ),fought (JJ)
foul-mind,foul-minded (JJ),foul-minded (JJ)
foulli,foully (RB),foully (RB)
found,found (v),founding (VBG),found (VBD)
foundat,foundation (n),foundation (NN)
four,four (n),four (CD)
four-hundred-hour,four-hundred-hour (JJ),four-hundred-hour (JJ)
fourteen,fourteen (n),fourteen (JJ)
fraction,fractionally (RB),fractionally (RB),fraction (NN)
fractious,fractious (JJ),fractious (JJ)
fragil,fragility (n),fragility (NN),fragile (VBP)
fragment,fragment (v),fragmented (VBD),fragmenting (VBG),fragmentation (NN),fragments (NNS),fragment (JJ)
fragmentari,fragmentary (JJ),fragmentary (JJ)
frail,frail (VBP),frail (VBP)
frame,frame (n),frame (RB)
frank,frank (n),frank (JJ),frankly (RB)
frantic,frantically (RB),frantically (RB),frantic (JJ)
fraught,fraught (VBD),fraught (VBD)
fray,fray (v),fraying (VBG)
freakshow,freakshows (NNS),freakshows (NNS)
free,free (n),free (JJ)
free-fal,free-fall (JJ),free-fall (JJ)
freedom,freedom (n),freedoms (NNS),freedom (RB)
freeli,freely (RB),freely (RB)
freez,freeze (v),freeze (VBP),freezing (VBG),freezes (VBZ)
freezer,freezer (n),freezer (NN)
freight,freight (n),freight (JJ)
frenzi,frenzy (VBP),frenzy (VBP)
frequenc,frequency (n),frequencies (NNS),frequency (NN)
frequent,frequent (v),frequented (VBN),frequent (NN),frequently (RB)
fresh,fresh (JJ),fresh (JJ)
fret,fret (v),fretted (VBD),frets (NNS),fret (JJ),fretting (VBG)
fri,fried (JJ),fried (JJ)
friction,friction (n),friction (NN)
friend,friend (n),friend (NN),friends (VBZ),friendly (RB)
fright,fright (n),fright (JJ)
frighten,frighten (v),frightened (VBD),frightening (NN)
frigid,frigid (NNS),frigid (NNS)
frill,frill (n),frill (NN)
fring,fringe (n),fringes (NNS)
from,from (IN),from (IN)
frond,frond (n),fronds (NNS)
front,front (n),front (RB),fronted (VBD)
front-run,front-running (JJ),front-running (JJ)
frontal,frontal (n),frontal (JJ)
frontier,frontier (n),frontiers (NNS)
frontier-spirit,frontier-spirit (NN),frontier-spirit (NN)
frostbit,frostbite (n),frostbite (NN)
frown,frown (v),frowned (VBD),frowning (VBG),frown (JJ)
froze,froze (JJ),froze (JJ)
frozen,frozen (JJ),frozen (JJ)
frozen-solid,frozen-solid (JJ),frozen-solid (JJ)
fruit,fruit (n),fruits (NNS),fruitful (JJ),fruit (NN),fruiting (VBG)
fruition,fruition (VBP),fruition (VBP)
fruitless,fruitless (JJ),fruitless (JJ)
frustrat,frustrated (JJ),frustrated (JJ),frustrating (VBG),frustration (NN)
fuck,fucked (JJ),fucked (JJ),fuck (JJ),fucks (VBZ),fucking (VBG)
fucker,fucker (n),fuckers (NNS),fucker (NN)
fuckwit,fuckwits (NNS),fuckwits (NNS),fuckwit (JJ)
fuel,fuel (n),fuels (NNS),fuel (NN)
fugit,fugitive (n),fugitive (JJ),fugitives (VBZ)
fugu,fugue (n),fugue (JJ)
fulcrum,fulcrum (n),fulcrum (RB)
fulfil,fulfil (v),fulfilled (VBD),fulfil (JJ),fulfilling (VBG)
full,full (n),full (JJ)
full-tilt,full-tilt (JJ),full-tilt (JJ)
fulli,fully (RB),fully (RB)
fumbl,fumble (n),fumble (JJ),fumbled (VBD),fumbling (VBG)
fume,fume (n),fumes (NNS)
fun,fun (VBP),fun (VBP)
function,function (v),functioning (VBG),function (VBP),functions (NNS),functionally (RB),functionality (NN),functional (JJ)
fungal,fungal (JJ),fungal (JJ)
fungus,fungus (n),fungus (JJ)
funni,funny (n),funny (JJ)
funny-look,funny-looking (JJ),funny-looking (JJ)
fur,fur (n),fur (NN)
furi,fury (n),fury (NN)
furious,furious (JJ),furious (JJ),furiously (RB)
furnish,furnish (v),furnished (VBN)
furrow,furrow (v),furrow (VBP)
further,further (v),furthering (VBG),further (RBR)
furthermor,furthermore (RB),furthermore (RB)
furthest,furthest (JJS),furthest (JJS)
furtiv,furtive (JJ),furtive (JJ)
fuse,fuse (v),fused (VBN)
fusion,fusion (n),fusion (JJ)
fuss,fuss (v),fussing (VBG)
futil,futile (JJ),futile (JJ)
futter,futtering (NN),futtering (NN)
futur,future (n),future (JJ)
future-ward,future-wards (JJ),future-wards (JJ)
fuzz,fuzz (VBP),fuzz (VBP)
fuzzi,fuzzy (JJ),fuzzy (JJ)
gaggl,gaggle (n),gaggle (NN)
gain,gain (n),gain (NN),gains (NNS),gained (VBN)
gainsay,gainsay (NN),gainsay (NN)
gait,gait (n),gait (NN)
galaxi,galaxy (n),galaxy (JJ)
galleri,gallery (n),galleries (NNS)
gambit,gambit (n),gambit (NN)
gambl,gamble (n),gamble (NN)
game,game (n),game (NN),games (NNS)
gang,gang (v),gang (VBD)
gap,gap (n),gap (NN),gaps (NNS)
gape,gap (v),gaping (VBG)
garb,garb (n),garb (NN)
garbl,garble (v),garbling (VBG),garble (JJ),garbled (VBN)
garment,garment (n),garments (NNS),garment (JJ)
garner,garner (n),garners (NNS),garner (NN)
gas,gas (n),gas (NN)
gasbag,gasbag (n),gasbag (NNS)
gash,gash (n),gash (JJ)
gate,gate (v),gate (VBP),gates (VBZ)
gatekeep,gatekeeper (n),gatekeepers (NNS)
gateway,gateway (n),gateway (JJ)
gather,gathering (n),gatherings (NNS),gather (NN),gathering (VBG),gathers (NNS),gathered (VBN)
gaug,gauging (NN),gauging (NN)
gave,give (v),gave (VBD)
gaze,gaze (n),gaze (NN),gazing (VBG),gazes (NNS),gazed (VBD)
gear,gear (n),gear (JJ),gearing (VBG)
gel,gel (n),gel (NNS)
gem,gem (n),gems (NNS)
gender,gender (n),gender (NN)
gene,gene (n),gene (NN),genes (NNS)
general,general (n),general (JJ),generalized (VBN),generally (RB)
generat,generational (JJ),generational (JJ),generation (NN),generate (NN),generations (NNS),generated (VBD)
genesi,genesis (n),genesis (NN)
genet,genetic (JJ),genetic (JJ),genetically (RB),genetics (NNS)
genius,genius (n),genius (NN),geniuses (NNS)
genocid,genocidal (JJ),genocidal (JJ),genocide (VBP)
genom,genome (n),genome (JJ)
gentl,gentle (JJ),gentle (JJ),gently (RB)
gentler,gentler (NN),gentler (NN)
genuflect,genuflection (n),genuflection (NN)
genuin,genuinely (RB),genuinely (RB),genuine (NN)
geographi,geography (n),geography (NN)
geolog,geology (n),geology (NN),geologically (RB),geological (JJ)
